image_name,x,y,z
processed_5460.png,1.030499541,1,1.014586554
processed_4865.png,1.030499541,1,1.014586554
processed_4518.png,1.030499541,1,1.014586554
processed_9238.png,1.030499541,1,1.014586554
processed_1644.png,1.030499541,1,1.014586554
processed_5065.png,1.030499541,1,1.014586554
processed_5249.png,0.961529099,1,0.981354774
processed_35.png,0.961529099,1,0.981354774
processed_4344.png,0.977757438,1,0.989065584
processed_8632.png,1.030499541,1,1.014586554
processed_5961.png,0.961529099,1,0.981354774
processed_8647.png,0.957472014,1,0.97943787
processed_2216.png,1.030499541,1,1.014586554
processed_897.png,1.030499541,1,1.014586554
processed_2764.png,1.030499541,1,1.014586554
processed_8977.png,0.973700353,1,0.987131453
processed_9663.png,1.030499541,1,1.014586554
processed_7949.png,1.030499541,1,1.014586554
processed_7579.png,1.030499541,1,1.014586554
processed_1113.png,0.957472014,1,0.97943787
processed_6349.png,0.916901166,1,0.960513471
processed_6841.png,1.030499541,1,1.014586554
processed_5284.png,1.030499541,1,1.014586554
processed_3856.png,1.030499541,1,1.014586554
processed_5265.png,0.929072421,1,0.966143352
processed_396.png,1.030499541,1,1.014586554
processed_595.png,1.030499541,1,1.014586554
processed_3155.png,1.030499541,1,1.014586554
processed_9135.png,0.949357845,1,0.975617197
processed_1645.png,1.030499541,1,1.014586554
processed_3043.png,0.973700353,1,0.987131453
processed_9258.png,1.030499541,1,1.014586554
processed_1197.png,1.030499541,1,1.014586554
processed_1435.png,0.864159064,1,0.936608759
processed_228.png,1.030499541,1,1.014586554
processed_2070.png,1.030499541,1,1.014586554
processed_2204.png,1.030499541,1,1.014586554
processed_9694.png,1.030499541,1,1.014586554
processed_6190.png,0.925015336,1,0.964262136
processed_7196.png,0.973700353,1,0.987131453
processed_8099.png,1.030499541,1,1.014586554
processed_6901.png,0.977757438,1,0.989065584
processed_2428.png,0.953414929,1,0.977525336
processed_5869.png,1.030499541,1,1.014586554
processed_8031.png,0.957472014,1,0.97943787
processed_8904.png,1.030499541,1,1.014586554
processed_5914.png,1.030499541,1,1.014586554
processed_9061.png,0.969643269,1,0.985201591
processed_4792.png,1.030499541,1,1.014586554
processed_8395.png,0.969643269,1,0.985201591
processed_7105.png,1.030499541,1,1.014586554
processed_4403.png,1.030499541,1,1.014586554
processed_8409.png,1.030499541,1,1.014586554
processed_4743.png,1.030499541,1,1.014586554
processed_323.png,1.030499541,1,1.014586554
processed_8445.png,0.953414929,1,0.977525336
processed_6993.png,1.030499541,1,1.014586554
processed_5471.png,1.030499541,1,1.014586554
processed_7995.png,0.957472014,1,0.97943787
processed_4931.png,1.030499541,1,1.014586554
processed_6789.png,1.030499541,1,1.014586554
processed_7793.png,1.030499541,1,1.014586554
processed_8121.png,1.030499541,1,1.014586554
processed_8374.png,1.030499541,1,1.014586554
processed_5228.png,1.030499541,1,1.014586554
processed_1577.png,0.957472014,1,0.97943787
processed_8698.png,1.030499541,1,1.014586554
processed_772.png,1.030499541,1,1.014586554
processed_5601.png,0.925015336,1,0.964262136
processed_7174.png,1.030499541,1,1.014586554
processed_626.png,1.030499541,1,1.014586554
processed_4281.png,1.030499541,1,1.014586554
processed_1448.png,1.030499541,1,1.014586554
processed_6116.png,1.030499541,1,1.014586554
processed_5093.png,1.030499541,1,1.014586554
processed_7277.png,0.969643269,1,0.985201591
processed_6447.png,1.030499541,1,1.014586554
processed_5962.png,1.030499541,1,1.014586554
processed_8252.png,1.030499541,1,1.014586554
processed_5883.png,1.030499541,1,1.014586554
processed_1276.png,1.030499541,1,1.014586554
processed_5141.png,1.030499541,1,1.014586554
processed_7974.png,1.030499541,1,1.014586554
processed_508.png,1.030499541,1,1.014586554
processed_8914.png,0.969643269,1,0.985201591
processed_3727.png,1.030499541,1,1.014586554
processed_4829.png,0.965586184,1,0.983276023
processed_8523.png,1.030499541,1,1.014586554
processed_2328.png,0.93718659,1,0.969919416
processed_8644.png,0.864159064,1,0.936608759
processed_1144.png,0.969643269,1,0.985201591
processed_2284.png,0.957472014,1,0.97943787
processed_1295.png,0.916901166,1,0.960513471
processed_910.png,1.030499541,1,1.014586554
processed_4891.png,1.030499541,1,1.014586554
processed_8148.png,1.030499541,1,1.014586554
processed_9468.png,0.884444488,1,0.945706339
processed_2542.png,1.030499541,1,1.014586554
processed_7925.png,1.030499541,1,1.014586554
processed_4649.png,0.957472014,1,0.97943787
processed_3619.png,1.030499541,1,1.014586554
processed_9606.png,0.957472014,1,0.97943787
processed_1923.png,0.916901166,1,0.960513471
processed_6983.png,0.957472014,1,0.97943787
processed_7852.png,1.030499541,1,1.014586554
processed_2141.png,1.030499541,1,1.014586554
processed_1877.png,0.973700353,1,0.987131453
processed_7420.png,1.030499541,1,1.014586554
processed_8351.png,1.030499541,1,1.014586554
processed_3490.png,0.981814523,1,0.991003958
processed_198.png,0.957472014,1,0.97943787
processed_7986.png,1.030499541,1,1.014586554
processed_3029.png,1.030499541,1,1.014586554
processed_513.png,1.030499541,1,1.014586554
processed_376.png,1.030499541,1,1.014586554
processed_6756.png,1.030499541,1,1.014586554
processed_794.png,0.965586184,1,0.983276023
processed_2611.png,1.030499541,1,1.014586554
processed_1805.png,0.969643269,1,0.985201591
processed_8349.png,1.030499541,1,1.014586554
processed_275.png,1.030499541,1,1.014586554
