FileName,cluster
0X100009310A3BD7FC,1
0X1002E8FBACD08477,1
0X1005D03EED19C65B,1
0X10075961BC11C88E,1
0X10094BA0A028EAC3,0
0X100CF05D141FF143,2
0X100E3B8D3280BEC5,2
0X100E491B3CD58DE2,2
0X100F044876B98F90,1
0X101026B90DAE7E95,2
0X1012703CDC1436FE,2
0X1013E8A4864781B,1
0X1018521A3BC5CDBA,1
0X101C388397F66EDB,1
0X101CFC9C5351DCBE,1
0X101E654AF3FC07A8,1
0X10267ADF2E644E0,1
0X102AE9C68B2C46DA,1
0X102C51641C321436,1
0X102CFB07F752AAE6,1
0X102DD1B9BE03716,1
0X102E453603FA1440,1
0X102E94908346DE1D,2
0X102F3D4CD5E10801,2
0X10365E52F01510B4,2
0X1039108E17193B1C,1
0X1039B49145DF4F25,1
0X103A55B2546EF36E,2
0X103BE163257D663A,1
0X1040C376CF369A01,1
0X1040D64234D3E916,1
0X1043D3D352972862,2
0X1045F1B5A0A5EA54,2
0X104D2C3D60AE3DE8,1
0X105039B849CDB1CD,1
0X10516E63208D8EA1,2
0X1055D6B76E5D7556,1
0X10569E00E4DFFF7D,1
0X1059077339EF0869,1
0X105B9EF57DE45DCB,1
0X105CDF495F9A9A43,1
0X105D400DBDB7A1FA,2
0X105E0E36E611D657,2
0X10623D3AF96AC271,1
0X1062E316DF137FDB,1
0X10648BFB1458861,2
0X106766224781FAE2,2
0X106A8FDB8A83534B,1
0X106B384BEED608E3,1
0X106E73F4961CC47B,1
0X106EA7D9DEC59EA9,2
0X106FE6CF624D4C8C,2
0X1070ABA581A9A255,1
0X107458C8895A9AC9,1
0X1082BF2A3762D881,2
0X1088B755BC61AF23,1
0X108B163EEADDDABC,2
0X108B4B26B48E417B,1
0X1093398DC18FB3B3,1
0X1096572D64654BBD,1
0X1098A9CCA66A5DD0,2
0X109D27B0A540F9F6,1
0X10A28877E97DF540,2
0X10A5FC19152B50A5,1
0X10A8ADB48536C3D5,1
0X10A9B17E26220232,1
0X10ABB3401FC5EC2D,2
0X10AD385C206C85C,1
0X10B04432B90E5AC2,2
0X10B063E16BA7BEE3,1
0X10B13E581B12A53C,1
0X10B7505562B0A702,1
0X10BC6AA53115AA06,1
0X10BD75A3203C3BB9,1
0X10BDFD27E27D56A9,2
0X10BFDDD409BA5A7A,2
0X10C2D4AA0721C0FB,1
0X10C3E084B3ABE52A,1
0X10C4823DD13E1869,2
0X10C53B6D1D01A54A,1
0X10CA19FBE6D26A71,1
0X10D11D93FB71B19C,1
0X10D1B5DDEBC0E3C8,1
0X10D278E3FD2DE072,0
0X10D5F8CF0EB124,1
0X10D734CBEB6ECB81,1
0X10D8F5659B144070,1
0X10DEF75CF6DC6B84,0
0X10E197789006C3D5,0
0X10E47D630E15DE12,1
0X10E57E24DBA5788,1
0X10E60C3C123CAEB8,2
0X10EFC1D17C7FB199,1
0X10F04F8DFB86BAEE,1
0X10F6FD4A9C6A458E,2
0X10FCACE551DE0CEB,2
0X11000DD0D10B399F,1
0X1100A0AA0BDBAE92,1
0X1106795368C7DE44,1
0X1108EED6EC60971E,2
0X110A2E1C465B1B53,1
0X11109B2A42A4C76E,1
0X11116A740B44446A,2
0X1112442D58D48C79,1
0X11199500C4901088,1
0X111D3734D84AA8B8,1
0X111E2E3AD9EB4317,1
0X111EDA8A1E44169C,1
0X1123724D7C9FAF61,1
0X1124D3D938A98B7B,2
0X112505A983BB4D8E,1
0X112668E4C7655E1A,2
0X112862331B7E140E,2
0X1128628F2CE14FF4,2
0X1129FFF0D45D7EFF,1
0X112B93363FA20D8B,1
0X112D0A3D2ACB8800,1
0X112E05F05062753E,1
0X112EF236E1F676E4,1
0X112F1A9C7DF4A5F2,2
0X11303E45952732BD,1
0X113195610E41EF2,2
0X1131FB2A374D34F5,2
0X1134CC5B50757EEF,1
0X113E6AD75AB62781,1
0X113E9F83E605C0F5,1
0X113F9B4D1F9FA03,1
0X1143688D7F946644,2
0X11445CEF92745462,1
0X114B58E6B34E55F1,1
0X114DED900F0C2D7D,1
0X1150BD0249677E8F,2
0X1151059A7824211,1
0X1151F27F45E9644F,1
0X11537FCF989575BB,1
0X1154F8CD483D5CD5,1
0X115841DA5E9DC64D,1
0X1161B02E0B2DBB94,0
0X11648EA1AD4AE177,1
0X1167650B8BEFF863,0
0X11679CCF8428C87,1
0X116D6A1EFDD8E226,1
0X11751D404DAD3313,2
0X117CAE6A13AA3F5,1
0X117F243A9D657663,1
0X117FFBEE3018EEF,1
0X1185DA5AB0D9BE6A,1
0X11861625D2695B1F,1
0X118EF5AEED2E28EC,2
0X119154A48FDF0A82,2
0X1192B98E520E87C8,1
0X119C98019EFAA0F4,1
0X11A07A83B21CFE1E,1
0X11A3165A8DC20F2D,1
0X11A3EC0D91F0CD3B,2
0X11B01A59D74693C4,1
0X11B7D2EE96990A8D,0
0X11BACBBF79E25D1E,2
0X11BC6C9DEA4C94C7,2
0X11BDF610427B903F,1
0X11BE656DE80C9CF2,2
0X11C1412786BCBB50,1
0X11C5F414FDFFA6FE,1
0X11C89001BEF939E2,1
0X11C9572ABEDC9715,2
0X11CC3D00A37FE7DF,1
0X11D525180CDD1ECD,1
0X11D53502D38B208F,2
0X11DA79F89EE37D3B,1
0X11DD5C8CC2A4D225,1
0X11DF3DEE0B2544FE,1
0X11E0A9338456F4AA,2
0X11E371F35DEBE8B4,2
0X11E3FA2DD4ADD675,1
0X11F088FA228B2BE8,2
0X11F7628563B5B391,2
0X11F798A4F0181ACF,1
0X12006C9A54BEED76,2
0X1205884E675E58B9,1
0X120CAF5F957C906C,1
0X120E33CFA2D0FF00,1
0X1210DA53C9475EBF,1
0X1212FB5C4E7021B8,1
0X12143BF23189A122,1
0X12185F79407DF986,1
0X121968806D66B71F,1
0X1219DA80A35E3B5F,1
0X121ED339D11C4F6B,1
0X1220B4C71FD9D82,1
0X1222EAE9D581E210,1
0X1225C19111629C6F,1
0X1227CDDF6A114129,1
0X123B2FFEBC042304,1
0X123BE57301362DA4,0
0X123D5FE0A5DC7E1D,1
0X123F96492CB893D6,1
0X124030F8B3C1A5AF,1
0X12430512E2BBCD55,1
0X124823D11EF8E321,1
0X12508E9DD1BA59B5,1
0X125C10BA973D3B07,1
0X12628F033A56EB6F,0
0X1262A9E08289B606,2
0X1264B4000299A44A,0
0X126C02C8B984672B,2
0X126D2362E5A0A3E2,1
0X12743BE18328C2CB,1
0X12746954583128D,1
0X1274EA614B0388C1,1
0X1276054526651444,0
0X127779E8265AE7DF,1
0X127A2C51D192532D,0
0X127D3AEEA73EDE76,0
0X127F452F06A3EE97,1
0X12807854DFA9CC01,1
0X128786C169B3ADAE,2
0X128C3C2C3A7496CB,2
0X129133A90A61A59D,2
0X129682A2ECCD415,1
0X1297B85A51C2B20A,1
0X129C303CC617D208,1
0X129CDFF3A684DDB9,2
0X129ED481CEECBD9,1
0X12A72A2C6FF4C400,1
0X12AD71F42865D2A,1
0X12B41FA5409312FE,1
0X12B468050091669,2
0X12B70D2902C13E73,1
